MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974490,37.7924785,0.2630000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,54.0220000,-0.2125664,0.3792360,-0.2635854
MsgID.LOCAL_VELOCITY,54.0220000,0.0000048,-0.0000466,0.0000164
MsgID.GLOBAL_POSITION,0.0000000,-122.3974515,37.7924790,0.2700000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,54.2730000,-0.1574138,0.1578907,-0.2710249
MsgID.LOCAL_VELOCITY,54.2730000,0.0000054,-0.0000309,0.0000134
MsgID.GLOBAL_POSITION,0.0000000,-122.3974496,37.7924800,0.2710000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,54.5230000,-0.0512331,0.3254070,-0.2713760
MsgID.LOCAL_VELOCITY,54.5230000,0.0000076,-0.0000182,0.0000209
MsgID.GLOBAL_POSITION,0.0000000,-122.3974480,37.7924800,0.2660000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,54.7730000,-0.0411618,0.4705305,-0.2659898
MsgID.LOCAL_VELOCITY,54.7730000,-0.0000098,-0.0000022,0.0000128
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974498,37.7924799,0.2560000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,55.0230000,-0.0529390,0.3072810,-0.2568778
MsgID.LOCAL_VELOCITY,55.0230000,0.0000077,-0.0000102,0.0000176
MsgID.GLOBAL_POSITION,0.0000000,-122.3974510,37.7924799,0.2420000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,55.2730000,-0.0556239,0.2052010,-0.2419390
MsgID.LOCAL_VELOCITY,55.2730000,0.0000088,-0.0000033,0.0000136
MsgID.GLOBAL_POSITION,0.0000000,-122.3974496,37.7924813,0.2250000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,55.5230000,0.1006050,0.3243756,-0.2251196
MsgID.LOCAL_VELOCITY,55.5230000,0.0000287,0.0000241,0.0000277
MsgID.GLOBAL_POSITION,0.0000000,-122.3974487,37.7924813,0.2020000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,55.7730000,0.0884395,0.3967700,-0.2017843
MsgID.LOCAL_VELOCITY,55.7730000,-0.0000303,-0.0000098,-0.0000173
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974504,37.7924800,0.1760000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,56.0230000,-0.0510493,0.2542444,-0.1762461
MsgID.LOCAL_VELOCITY,56.0230000,-0.0000172,0.0000198,0.0000144
MsgID.GLOBAL_POSITION,0.0000000,-122.3974501,37.7924786,0.1450000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,56.2730000,-0.2082668,0.2829683,-0.1440170
MsgID.LOCAL_VELOCITY,56.2730000,-0.0000087,-0.0000263,0.0000156
MsgID.GLOBAL_POSITION,0.0000000,-122.3974500,37.7924790,0.1150000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,56.5240000,-0.1554584,0.2858306,-0.1152039
MsgID.LOCAL_VELOCITY,56.5240000,0.0000074,-0.0000124,0.0000248
MsgID.GLOBAL_POSITION,0.0000000,-122.3974493,37.7924804,0.0850000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,56.7740000,-0.0057221,0.3535376,-0.0848293
MsgID.LOCAL_VELOCITY,56.7740000,0.0000146,-0.0000150,0.0000107
MsgID.STATE,0.0000000,True,True,1
